text,label,vader_label,textblob_label,vader_score,textblob_score,source,title
anti government protest morocco turn deadly kill small town youth lead demonstrator fill street fifth straight night wednesday state public service descend violence rabat polic,negative,negative,neutral,-0.9042,-0.0625,NPR,"Anti-government protests in Morocco turn deadly, with 2 killed in a small town"
trump point peace plan european middle eastern leader welcome new gaza president donald warn hamas accept end war israeli prime minister benjamin netanyahu issue official response text proposal,positive,positive,positive,0.5859,0.2340909090909091,BBC News,Trump's 20-point peace plan in full
bbc report scene emergency service remain resident check relative safe reporter anna jameson middleton road manchester car stab attack take place synagogue people injure suspect shoot police,negative,negative,positive,-0.8807,0.25,BBC News,BBC reports from the scene
wind rain warning storm amy set hit part uk school northern ireland close rail service ferry scotland cancel elizabeth rizzinilead weather presenter bring heavy strong large country gust reach mph area,neutral,neutral,positive,-0.0,0.1492063492063492,BBC News,Wind and rain warnings as Storm Amy set to hit parts of UK
attack unfold suspect terrorist synagogue north manchester happen bst armed officer call scene minute member public alert police people kill shoot dead,negative,negative,neutral,-0.9648,-0.1,BBC News,How the attack unfolded
trump administration begin detail shutdown plan deadline near washington reuters president donald start monday service pause federal bo erickson courtney rozen andy sullivan,neutral,neutral,neutral,0.0,0.1,Yahoo Entertainment,Trump administration begins detailing shutdown plans as deadline nears
china late digital headache american corporation export piracy base medium pirate target latin america southeast asia taiwan avoid local law enforcement get sophisticated block service domestically copyright holder like speak manager th,positive,positive,negative,0.25,-0.10000000000000002,Gizmodo.com,China’s Latest Digital Headache for American Corporations: ‘Export-Only’ Piracy
salesforce challenger zeta global make big acquisition look corner loyalty market help marketer attract retain customer double strategy client use service david steinberg th marketing tech company acquire enterprise soft,positive,positive,neutral,0.8481,0.025,Business Insider,Salesforce challenger Zeta Global is making its biggest-ever acquisition as it looks to corner the loyalty market
researcher sound alarm soar scooter injury cost case involve complex trauma require major surgery spring move paris study abroad experience discover lime world share system little year likely inspir,negative,negative,neutral,-0.7003,-0.004999999999999993,Gizmodo.com,Researchers Sound the Alarm on Soaring E-Scooter Injury Costs
gear news week adobe premiere land iphone let design widget plus whoop order blood test arlo refresh security camera lineup roland unveil new analog drum machine busy year redesign number popular app mobile latesta video editing workflow adapt,positive,positive,positive,0.6705,0.27878787878787875,Wired,"Gear News of the Week: Adobe Premiere Lands on iPhone, and Nothing Lets You Design Your Own Widgets"
oracle employee criticise israel refer mental health service disagree reportedly company year georgian dream government elect relation eu excellent previous united national movement president mikheil saakashvili,positive,positive,positive,0.4588,0.38333333333333336,Responsiblestatecraft.org,Oracle employees who criticise Israel referred to mental health services
cable nostalgia persist streaming get expensive fragment anonymous reader quote report ar technica tivo video trend north america release today point growth cord revive read share respondent cut later decide resubscribe traditional traditio,positive,positive,negative,0.6249,-0.16666666666666666,Slashdot.org,"Cable Nostalgia Persists As Streaming Gets More Expensive, Fragmented"
deep sadness mother father son die ireland parent find dead alongside remember passionate campaigner autistic people eimear flanaganbbc news ni family home rural county louth cordone forensic examination couple adult,negative,negative,neutral,-0.8271,-0.05833333333333333,BBC News,"'Deep sadness' as mother, father and son die in Ireland"
friday employment report ism service note release government shutdown mortgage rate mortgagenewsdaily com tier scenario et employ,neutral,neutral,neutral,0.0,0.0,Calculatedriskblog.com,"Friday: Employment Report (No!), ISM Services"
internet access return afghanistan taliban blackout hour shutdown impose government hit firm flight risk isolate woman telecom service restore nationwide provoke widespread condemnation local reporter say communication resu,negative,negative,neutral,-0.8555,-0.1,BBC News,Internet access returns to Afghanistan after Taliban blackout
need hospital football stadium morocco young protester soon world large anger people want well service currently build globe preparation co host cup demonstrator take street night,negative,negative,neutral,-0.3182,-0.09642857142857142,BBC News,"We need hospitals more than football stadiums, say Morocco's young protesters"
trump administration use taxpayer dollar blame democrat government shutdown federal employee report see similar message expert violate ethic law mean partisan politic day govern likely internal agency communication public website vio,negative,negative,neutral,-0.6808,-0.0625,NPR,Trump administration uses taxpayer dollars to blame Democrats for government shutdown
premier league soccer stream leed vs tottenham live peacock seventh home win thomas frank spur saturday early kick english see team grow confidence need turn draw ll outline good tv st,positive,positive,positive,0.875,0.3472727272727273,CNET,Premier League Soccer: Stream Leeds vs. Tottenham Live From Anywhere
india stock benchmark set open flat session lose run nifty bse sensex seven long losing streak nearly month persistent foreign reuters equity poise little change tuesday fall straight hurt steep tariff hike visa fee caution,negative,negative,neutral,-0.6249,-0.012499999999999995,Yahoo Entertainment,India's stock benchmarks set to open flat after 7-session losing run
red alert issue ibiza street flood rain water mm rainfall expect hit holiday destination hour window spain meteorological agency say watch road turn river spanish island formentera,positive,positive,neutral,0.5994,0.0,BBC News,Red alert issued for Ibiza after streets flooded with rain water
government shutdown affect country federal impact people united states npr network member station explain effect feel nationwide politician washington spar detail fund loom clock tick congressional,positive,positive,neutral,0.2263,0.0,NPR,Here's what a government shutdown could affect around the country
spy family season release date watch new favorite fake save world fail normal ready chaotic charming officially month anya yor loid dog bond return stake,positive,positive,neutral,0.4019,0.09805194805194804,CNET,Spy x Family Season 3 Release Date: When and Where to Watch the New Season
ohio state health system pick new billion tower wexner medical center hospital open track public early massive university nearly story bed skyscraper,neutral,neutral,neutral,0.0,0.029545454545454545,Fci Academy,Ohio State health system picks name for new $2 billion tower at Wexner Medical Center
restore public sector capacity count city tomorrow opportunity seize today crise climate change inequality hit hard strengthen government strategic imperative require significant investment sustain coordination crisis tha,positive,positive,neutral,0.3818,0.027777777777777773,Project Syndicate,Restoring Public-Sector Capacity Where It Counts
spotify comcast late announce co ceo model backfire pay big number high profile company structure lately have cook kitchen risky elevate president mike cavanagh leave alongside current brian roberts business wire ap draw angerer getty image wave adopt,negative,negative,neutral,-0.1027,-0.088,Business Insider,Spotify and Comcast are the latest to announce co-CEOs. It's a model that can backfire — or pay off big.
venezuela maduro ready declare state emergency attack give special power mobilise army authority public service oil industry venezuelan president nicolas say threat aggression united states follow spate deadly suspect,negative,negative,neutral,-0.6369,0.08928571428571429,Al Jazeera English,Venezuela’s Maduro ready to declare state of emergency if US attacks
sport betting explode state set limit stop gambling addiction concern rise advocate lawmaker federal regulation industry settle law help curb excessive bet hard promote moderation financial discipline bowel casino massachusetts worker try day amid clanging bell flash light,positive,positive,neutral,0.4019,-0.03541666666666668,NPR,"As sports betting explodes, should states set more limits to stop gambling addiction?"
browserpod browser stack environment ide agent wasm webassembly base client container technology bring development pod run multiple process real concurrency persistent block filesystem public http endpoint portal excited introduce language generalise,negative,negative,neutral,-0.128,-0.04500000000000002,Leaningtech.com,BrowserPod: In-browser full-stack environments for IDEs and Agents via WASM
uk leave echr tory win election badenoch say european convention human right focal point debate change immigration policy sam francispolitical reporter conservative kemi announce announcement,positive,positive,positive,0.5574,0.27142857142857146,BBC News,"UK will leave ECHR if Tories win election, Badenoch says"
cm ask official ensure well civic service deccan chronicle,positive,positive,neutral,0.5719,0.0,Deccan Chronicle,CM Asks Officials To Ensure Better Civic Services - Deccan Chronicle
psi annual report public service international,neutral,neutral,neutral,0.0,0.0,Public Services International,PSI Annual Report 2023 - Public Services International
pmc launch online portal offer civic service fingertip pune mirror,neutral,neutral,neutral,0.0,0.0,Pune Mirror,PMC Launches Online Portal Offering 97 Civic Services at Your Fingertips - Pune Mirror
sierra leone turn ai modernize public service tech,neutral,neutral,neutral,0.0,0.0,We are Tech,Sierra Leone Turns to AI to Modernize Public Services - We are Tech
public satisfaction cornerstone effective governance naidu new indian express,positive,positive,positive,0.7184,0.24545454545454545,The New Indian Express,Public satisfaction is cornerstone of effective governance: Naidu - The New Indian Express
architect viksit bharat bjp leader hail pm modi year public service ian live,positive,positive,neutral,0.0772,0.06818181818181818,IANS LIVE,‘Architect of Viksit Bharat’: BJP leaders hail PM Modi’s 25 years of public service - IANS LIVE
youth survey shape future public service profession leadingsdg education unesco org,neutral,neutral,neutral,0.0,0.0,unesco.org,Youth survey: Shaping the future of public service professions | #LeadingSDG4 | Education2030 - unesco.org
pm modi mark year public service thank citizen trust telangana today,positive,positive,neutral,0.7003,0.0,Telangana Today,"PM Modi marks 25 years in public service, thanks citizens for their trust - Telangana Today"
saudi arabia riyadh streamline city service swap municipal office regional zone time india,neutral,neutral,neutral,0.0,0.0,Times of India,"Saudi Arabia: Riyadh streamlines city services, swaps 16 municipal offices for 5 regional zones - Times of India"
effective public service admn priority gs shekhawat india,positive,positive,positive,0.4767,0.3,First India,Effective public service must be admn’s priority: GS Shekhawat - First India
india speed paradox fast delivery slow justice public service deccan herald,positive,positive,neutral,0.4588,-0.03333333333333335,Deccan Herald,"India’s Speed Paradox: Fast Deliveries, Slow Justice and Public Services - Deccan Herald"
morocco protest enter fifth night anger public service turn deadly explain point indian express,negative,negative,negative,-0.6908,-0.3,The Indian Express,Morocco protests enter fifth night as anger over public services turns deadly | Explained in 5 points - The Indian Express
harness power ai public service ukauthority,neutral,neutral,neutral,0.0,0.0,UKAuthority,Harnessing the power of AI for public services - UKAuthority
united nations public service day award welcome,positive,positive,positive,0.8519,0.4,Welcome to the United Nations,United Nations Public Service Day and Awards - Welcome to the United Nations
pune pmc launch upgrade online service portal maharashtra deliver certify document free press journal,positive,positive,positive,0.5106,0.4,Free Press Journal,Pune: PMC Launches Upgraded Online Service Portal; First In Maharashtra To Deliver Certified Documents Via - Free Press Journal
gratitude pm modi mark th year public service pledge improve life republic world,positive,positive,neutral,0.7351,0.0,Republic World,"'My Gratitude': PM Modi Marks 25th Year in Public Service, Pledges to Improve Lives - Republic World"
public service commission inaugurate day administrative workshop hipa shimla central tibetan administration,neutral,neutral,neutral,0.0,0.0,Central Tibetan Administration,"Public Service Commission Inaugurates 10-Day Administrative Workshop at HIPA, Shimla - Central Tibetan Administration"
puja filthy trail waste surge plastic overload stretch civic service telegraph india,negative,negative,negative,-0.6486,-0.5,Telegraph India,"After Puja, a filthy trail; waste surge, plastic overload stretch civic services - Telegraph India"
bhubaneswar smart city limit restore defunct digital kiosk enhanced public service time india,positive,positive,neutral,0.5994,0.07142857142857142,Times of India,Bhubaneswar Smart City Limited to restore defunct digital kiosks for enhanced public services - Times of India
jharkhand public service commission extend jet application deadline october time india,positive,positive,neutral,0.1779,0.0,Times of India,Jharkhand Public Service Commission Extends JET Application Deadline to October 30 - Times of India
chandigarh mc set project management unit improve civic service tribune india,positive,positive,neutral,0.4404,0.0,Tribune India,Chandigarh MC to set up project management unit for improving civic services - Tribune India
vk malhotra selfless archer sight public service economic time,neutral,neutral,neutral,0.0,0.1,The Economic Times,VK Malhotra: A selfless archer with his sight on public service - The Economic Times
vk malhotra lifetime devote nation ideology public service business standard,positive,positive,neutral,0.34,0.0,Business Standard,"VK Malhotra: A lifetime devoted to nation, ideology and public service - Business Standard"
government strengthen public trust improve efficiency citizen engagement access service oecd,positive,positive,neutral,0.9186,0.0,OECD,"Governments should strengthen public trust by improving efficiency, citizen engagement and access to public services - OECD"
bengaluru civic work leave arterial road batter indiranagar deccan herald,negative,negative,neutral,-0.0516,0.0,Deccan Herald,Bengaluru: Civic works leave arterial roads battered in Indiranagar - Deccan Herald
pilot future public service tampere take strategic approach ai capgemini,neutral,neutral,neutral,0.0,0.0,Capgemini,Piloting the future of public services – Tampere takes a strategic approach to AI - Capgemini
public service available whatsapp august say chandrababu naidu hindu,neutral,neutral,positive,0.0,0.2,The Hindu,"700 public services will be available on WhatsApp from August 15, says Chandrababu Naidu - The Hindu"
rush civic work jubilee hills election backfire resident fume inordinate delay telangana today,negative,negative,neutral,-0.5423,0.0,Telangana Today,"Rush to take up civic works before Jubilee Hills by-elections backfires, as residents fume over inordinate delays - Telangana Today"
egovernment benchmark digitalization public service eu accelerate cybersecurity cross border challenge remain capgemini,positive,positive,neutral,0.0772,0.0,Capgemini,"eGovernment Benchmark 2025: Digitalization of public services in the EU accelerates, but cybersecurity and cross-border challenges remain - Capgemini"
public service award honor initiative country advance sdg progress welcome united nations,positive,positive,positive,0.936,0.4,Welcome to the United Nations,Public service awards honor initiatives in 11 countries that are advancing SDG progress - Welcome to the United Nations
regional roundtable digital public service small medium sized enterprise escap,neutral,neutral,neutral,0.0,-0.08333333333333333,ESCAP,Regional Roundtable on Digital Public Services for Small and Medium-sized Enterprises - ESCAP
trustee governance service xps group,positive,positive,neutral,0.25,0.0,XPS Group,Trustee and governance services - XPS Group
odisha public service commission issue opsc ocs prelim hall ticket link download telegraph india,neutral,neutral,neutral,0.0,0.0,Telegraph India,Odisha Public Service Commission Issues OPSC OCS Prelims Hall Ticket 2025- Link to Download Here - Telegraph India
india launch ai competency framework transform public service unesco org,neutral,neutral,neutral,0.0,0.0,unesco.org,India Launches AI Competency Framework to Transform Public Service - unesco.org
public health service crisis threaten institution center british culture nbc news,negative,negative,neutral,-0.7717,-0.03333333333333333,NBC News,"U.K.'s public health service is in crisis, threatening an institution at the center of British culture - NBC News"
home ministry circular operate public service district disaster risk rise nepal,negative,negative,neutral,-0.7351,0.0,The Rising Nepal,Home Ministry's circular to operate public services in districts with no disaster risk - The Rising Nepal
upsc change stance agree publish cse provisional answer key prelim indian express,positive,positive,neutral,0.3612,0.0,The Indian Express,"UPSC changes stance, agrees to publish CSE provisional answer key after prelims - The Indian Express"
accelerate public service delivery sustainable future welcome united nations,positive,positive,positive,0.7003,0.26666666666666666,Welcome to the United Nations,Accelerating public service delivery for a sustainable future - Welcome to the United Nations
hong kong issue second black rainstorm warning week public service disrupt newsonair,negative,negative,neutral,-0.34,-0.05555555555555555,Newsonair,Hong Kong Issues Second Black Rainstorm Warning This Week; Public Services Disrupted - Newsonair
public service unit restructuring meet practical requirement pm vov,neutral,neutral,neutral,0.0,0.0,VOV,Public service unit restructuring must meet practical requirements: PM - VOV
uttar pradesh public service commission issue uppsc acf rfo admit card detail telegraph india,positive,positive,neutral,0.2023,0.0,Telegraph India,Uttar Pradesh Public Service Commission Issues UPPSC ACF/RFO Admit Card 2025- Details Here - Telegraph India
citizen expectation public service systematic literature review nature,neutral,neutral,neutral,0.0,0.0,Nature,Citizens’ expectations about public services: a systematic literature review - Nature
innovation focus public service worker safety idaho transportation department gov,positive,positive,neutral,0.6597,0.0,Idaho Transportation Department (.gov),"ITD’s top innovations focus on public service, worker safety - Idaho Transportation Department (.gov)"
asu student receive prestigious obama foundation scholarship public service news,neutral,neutral,neutral,0.0,0.0,ASU News,ASU student receives prestigious Obama Foundation scholarship for public service - ASU News
robust policy well public service africa country institutional assessment cpia report chart world bank,positive,positive,neutral,0.5423,0.0,World Bank,Robust Policies for Better Public Services in Africa: The 2025 Country Policy and Institutional Assessment (CPIA) Report in 6 Charts - World Bank
application un public service award open april welcome united nations,positive,positive,positive,0.8519,0.26666666666666666,Welcome to the United Nations,Applications for the 2026 UN Public Service Awards are open until 15 April - Welcome to the United Nations
plea implement right public service act dispose hindu,neutral,neutral,positive,0.0,0.14285714285714285,The Hindu,Plea to implement Right to Public Services Act disposed of - The Hindu
strong collaboration policy innovation key asean future ready public service psd dg edge malaysia,positive,positive,positive,0.8126,0.12666666666666665,The Edge Malaysia,"Stronger collaboration, policy innovation key to Asean’s future-ready public service — PSD DG - The Edge Malaysia"
podcast episode ai machine learn public sector executive,neutral,neutral,neutral,0.0,0.0,Public Sector Executive,Podcast Episode 73 – AI & Machine Learning - Public Sector Executive
taj public service welfare trust humanitarian aid ihcl tata indian hotels company limit limited,positive,positive,neutral,0.34,-0.03571428571428571,The Indian Hotels Company Limited (IHCL),Taj Public Service Welfare Trust – Humanitarian Aid by IHCL Tata - The Indian Hotels Company Limited (IHCL)
socket block free malicious package firewall sfw stand safe work software security biz release command line tool defend developer supply chain attack build company npm extend scanni,positive,positive,positive,0.5106,0.45,Theregister.com,Socket will block it with free malicious package firewall
low mississippi river water level hurt grain price harvest year row obstruct shipment new orleans adversely impact farmer income barge traffic prob near east st louis photo steve liss getty image october season reach swing basin,negative,negative,neutral,-0.7351,0.07878787878787878,Forbes,Low Mississippi River Water Levels Could Hurt Grain Prices At Harvest
blackout spain portugal kind report find massive hit iberian peninsula know cause overvoltage power surge widespread severe europe year damian cortinas president,positive,positive,positive,0.2023,0.3,BBC News,"Blackout in Spain and Portugal 'first of its kind', report finds"
ottawa call cbsa report outage trucking group say timing issue couldn bad minister public safety give canada border service agency day provide system hold traffic week lead trucker strand long hour prompt head allian information technology trucke,negative,negative,negative,-0.1779,-0.24999999999999997,CBC News,"As Ottawa calls for CBSA report on IT outage, trucking group says timing of issue 'couldn't be worse'"
oil settle lower investor brace possible opec output hike houston reuters price tuesday supply surplus potential plan large georgina mccartney month resumpt,negative,negative,neutral,-0.296,0.07142857142857142,Yahoo Entertainment,Oil settles lower as investors brace for possible OPEC+ output hike
window end life day away action risk pc security microsoft support october mean user platform leave update go forward ensure need know final long supply new feature bug fix,positive,positive,neutral,0.6597,-0.02522727272727273,Windows Central,Windows 10's End of Life is just 10 days away — you must take action NOW or risk your PC's security
connect wordpress framer custom domain discover practical dns subdomain headless workflow content design work click buy secure speedy reliable web host cloud agency vps website builder business email reach marketing discount gold partner ho,positive,positive,positive,0.3612,0.4,Smashingapps.com,Can We Connect WordPress as Framer Custom Domain
smart light pole transform urban infrastructure iot drive datum intelligence energy efficiency market present opportunity integration sensor technology efficient lighting support city goal key area include environmental monitoring traffic safety managem dublin oct globe newswire global forecast report add researchandmarket com offer redefini,positive,positive,positive,0.9612,0.10238095238095239,GlobeNewswire,Smart Light Poles: Transforming Urban Infrastructure with IoT-Driven Data Intelligence and Energy Efficiency
ai dealmake rush trust medium brand table hold talk big tech license delay signing deal avoid give away content clear term sign contract sticking point scope company push broad acc,positive,positive,neutral,0.34,0.05416666666666666,Digiday,"In the AI dealmaking rush, Trusted Media Brands is at the table but holding back"
evaluate doordash autonomous delivery robot dot implication future mile logistic supply chain efficiency september introduce electric develop entirely house new concept represent practical targeted approach persistent chall target,positive,positive,positive,0.3612,0.1340909090909091,Logisticsviewpoints.com,Evaluating DoorDash’s Autonomous Delivery Robot ‘Dot’ and Its Implications for the Future of Last-Mile Logistics and Supply Chain Efficiency
wild card lunar table conference poster session call cislunar specific space traffic management address rise debris congestion advocate foresight public private partnership eventual global governance dedicated international organization introduction increase mission orbital heighten risk collision coordinate stm system need,positive,positive,neutral,0.1779,0.016666666666666666,Rand.org,Wild Cards on the Lunar Table
ukraine increase drone strike russian military oil train pace ukrainian accelerate recent month have direct impact broad economy image capture video release social medium show feed swarm fuel zaporizhzhia post august,positive,positive,neutral,0.2023,0.01597222222222222,Forbes,Ukraine Increases Drone Strikes On Russian Military And Oil Trains
revolutionize farming planet farm cisco industrial network use urwb power automate sustainable vertical reliable ultra low latency wireless connectivity robot agvs deep cut edge factory environment nestle sprawl field tower upwards layer produce tightly control condition tr,negative,negative,neutral,-0.4939,-0.05952380952380953,Cisco.com,Revolutionizing Farming: Planet Farms & Cisco Industrial Networks
dublin city council refuse permission nun accommodation block ballsbridge concern traffic cite refusal planning plan developer keith craddock construct unit elderly member religious order need care coun,negative,negative,neutral,-0.2263,0.0,The Irish Times,Dublin City Council refuses permission for nuns accommodation block in Ballsbridge
housing market update inventory rise rate decline price stabilize mortgage dip slightly offer relief potential buyer level pre norm give option home year rapid growth show sign,positive,positive,neutral,0.6621,-0.08333333333333333,Naturalnews.com,"Housing market update: inventory rising, rates declining, prices stabilizing"
efficiency prompt ai innovate win spark real innovation stop validate idea start break will not getty recently openai anthropic reveal generative work,positive,positive,positive,0.9231,0.3333333333333333,Forbes,Beyond Efficiency: Prompting AI To Innovate
digiday medium agency report client experiment spend ai tariff examine current future state perspective total spending channel delve impact agentic landscape research base unique datum collect proprietary audience publisher brand tech insider available member series short yea,neutral,neutral,neutral,0.0,-0.003571428571428575,Digiday,Digiday Media Agency Report 2025: How clients are experimenting and spending — from AI to tariffs
replace vike refrigerator farm long list task complete recent old prep kitchen guest house studio multiple event shoot chef,negative,negative,neutral,-0.34,0.030000000000000006,Themarthablog.com,Replacing a Viking Refrigerator
ford ceo say ev industry way small think tax credit expire midnight grow battery surplus delay factory plan reshape america supply chain federal electric vehicle end year policy pillar help close price gap gasoline turbocharge adoption immediate fallou,positive,positive,negative,0.4588,-0.25,Fortune,Ford CEO says EV industry will be ‘way smaller than we thought’ with tax credit due to expire at midnight
swamp people find refuge resilience america revile landscape year longread publish curate good longform writing weband not exist dedicated reader like today ensure quality journalism continue,positive,positive,positive,0.6726,0.7,Longreads.com,Swamp People
effect government shutdown congress trump don reach deal change case associate press federal near partial range public service broad economy employee furlough potential layoff halt,neutral,neutral,neutral,0.0258,0.0125,Boston Herald,"Here are some effects of a government shutdown if Congress, Trump don’t reach a deal"
clipboard control tower business reinvent school transportation ravindra kumar patro work stand evidence right framework legacy system evolve model efficiency safety sustainability decade yellow bus static fixture american education dependable rarely innovative today testbe artificial intelligence electrification,positive,positive,positive,0.7179,0.11428571428571427,International Business Times,From Clipboards to Control Towers: The Business of Reinventing School Transportation
rkiye launch tender large railway project prepare investment history megacity istanbul strategic infrastructure plan design ease freight traffic country populous city strengthen east west tr,positive,positive,positive,0.5859,0.21428571428571427,Hurriyet Daily News,Türkiye to launch tender for largest-ever railway project
microcomputer second wave mass market new appear scene break free industry hobbyist root apple ii commodore pet tandy radio shack trs later,positive,positive,positive,0.5106,0.1340909090909091,Technicshistory.com,Microcomputers – The Second Wave: Toward a Mass Market
analyze fluor nyse flr su group nasdaq sugp free report construction company superior investment contrast base strength earning dividend profitability instit,positive,positive,positive,0.9022,0.10000000000000002,ETF Daily News,Analyzing Fluor (NYSE:FLR) and SU Group (NASDAQ:SUGP)
mining water andean desert reveal green capitalism high altitude plateau traverse argentina bolivia chile chilean passenger seat jeep researcher afternoon air thin brisk sun pierce combination familiar wit bri,positive,positive,neutral,0.1531,-0.016250000000000014,Lithub.com,What Mining for Water in the Andean Desert Reveals About “Green” Capitalism
