text,processed_text,source,vader_label,vader_score,textblob_label,textblob_score,label,timestamp
Sangli’s deputy municipal commissioner in ACB net for seeking Rs 7 lakh to help clear building file - The Times of India Sangli’s deputy municipal commissioner in ACB net for seeking Rs 7 lakh to help clear building file  The Times of India nan,sangli deputy municipal commissioner acb net seek lakh help clear building file times india nan,sangli_news,positive,0.8625,neutral,0.049999999999999996,positive,2025-11-26 14:42:25.604584
"Maharashtra Human Rights Commission Orders Action Against Illegal Slaughterhouses In Sangli, Calls For - Free Press Journal Maharashtra Human Rights Commission Orders Action Against Illegal Slaughterhouses In Sangli, Calls For  Free Press Journal nan",maharashtra human rights commission orders action illegal slaughterhouses sangli call free press journal nan,sangli_news,negative,-0.1531,neutral,0.0,negative,2025-11-26 14:42:25.604584
"Floodwaters recede in Kolhapur and Sangli, highways reopen - The Times of India Floodwaters recede in Kolhapur and Sangli, highways reopen  The Times of India nan",floodwater recede kolhapur sangli highway reopen times india floodwaters nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Despite Maratha anger, BJP sweeps Jalgaon, Sangli polls - theweek.in Despite Maratha anger, BJP sweeps Jalgaon, Sangli polls  theweek.in nan",despite maratha anger bjp sweep jalgaon sangli poll nan,sangli_news,positive,0.7181,negative,-0.7,positive,2025-11-26 14:42:25.604584
"Polling begins for Sangli, Jalgaon municipal bodies - Moneycontrol Polling begins for Sangli, Jalgaon municipal bodies  Moneycontrol nan",polling begin sangli jalgaon municipal body moneycontrol nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
This Bureaucrat From Sangli Miraj Kupwad Municipal Corporation Introduces Plantable Visiting Cards For Sustainable Networking - PUNE PULSE This Bureaucrat From Sangli Miraj Kupwad Municipal Corporation Introduces Plantable Visiting Cards For Sustainable Networking  PUNE PULSE nan,bureaucrat sangli miraj kupwad municipal corporation introduce plantable visit cards sustainable networking pune pulse nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
Sangli road junction to be named after ex-IAF pilot who saved former Odisha CM - The Indian Express Sangli road junction to be named after ex-IAF pilot who saved former Odisha CM  The Indian Express nan,sangli road junction name ex iaf pilot save odisha cm indian express nan,sangli_news,positive,0.6808,neutral,0.0,positive,2025-11-26 14:42:25.604584
"Five BJP corporators switch sides, Sangli civic body gets NCP mayor | Mumbai news - Hindustan Times Five BJP corporators switch sides, Sangli civic body gets NCP mayor | Mumbai news  Hindustan Times nan",bjp corporator switch side sangli civic body get ncp mayor mumbai news hindustan times nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
Who Is Wing Commander Prakash Navale? Know All About Ex-IAF Pilot Who Saved JB Patnaik From Mob Fury As Sangli - Free Press Journal Who Is Wing Commander Prakash Navale? Know All About Ex-IAF Pilot Who Saved JB Patnaik From Mob Fury As Sangli  Free Press Journal nan,wing commander prakash navale know ex iaf pilot save jb patnaik mob fury sangli free press journal nan,sangli_news,positive,0.6322,positive,0.4,positive,2025-11-26 14:42:25.604584
"Former mayor of Sangli attempts to end life, under treatment now - The Times of India Former mayor of Sangli attempts to end life, under treatment now  The Times of India nan",mayor sangli attempt end life treatment times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
NGT fines Sangli civic body Rs 90 crore - The Times of India NGT fines Sangli civic body Rs 90 crore  The Times of India nan,ngt fine sangli civic body crore times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Despite majority, BJP loses mayoral election to NCP in Sangli-Miraj-Kupwad civic body - The Indian Express Despite majority, BJP loses mayoral election to NCP in Sangli-Miraj-Kupwad civic body  The Indian Express nan",despite majority bjp lose mayoral election ncp sangli miraj kupwad civic body indian express nan,sangli_news,positive,0.4449,negative,-0.3,positive,2025-11-26 14:42:25.604584
Pimpri-Chinchwad & Sangli waste-to-energy plants under fire: CPCB issues show-cause notices - Pune Mirror Pimpri-Chinchwad & Sangli waste-to-energy plants under fire: CPCB issues show-cause notices  Pune Mirror nan,pimpri chinchwad sangli waste energy plant fire cpcb issue cause notice pune mirror nan,sangli_news,negative,-0.5859,neutral,0.0,negative,2025-11-26 14:42:25.604584
"After Chandgad, NCP-NCP (SP) may go together for civic polls in Pune, Sangli & Beed districts - The Times of India After Chandgad, NCP-NCP (SP) may go together for civic polls in Pune, Sangli & Beed districts  The Times of India nan",chandgad ncp sp civic poll pune sangli beed district times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Uddhav Thackeray won’t meet Rahul Gandhi in Sangli today, Shiv Sena (UBT) denies he’s upset - The Indian Express Uddhav Thackeray won’t meet Rahul Gandhi in Sangli today, Shiv Sena (UBT) denies he’s upset  The Indian Express nan",uddhav thackeray will meet rahul gandhi sangli today shiv sena ubt deny upset indian express nan,sangli_news,negative,-0.8689,neutral,0.0,negative,2025-11-26 14:42:25.604584
"Prithviraj Chavan says, ‘Congress will approach Uddhav Thackeray over Sangli seat’ - The Indian Express Prithviraj Chavan says, ‘Congress will approach Uddhav Thackeray over Sangli seat’  The Indian Express nan",prithviraj chavan say congress approach uddhav thackeray sangli seat indian express nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"‘Uddhav Sena did not take us into confidence, but I’ll campaign for MVA candidate’: Vishwajeet Kadam on Sangli seat row - The Indian Express ‘Uddhav Sena did not take us into confidence, but I’ll campaign for MVA candidate’: Vishwajeet Kadam on Sangli seat row  The Indian Express nan",uddhav sena confidence campaign mva candidate vishwajeet kadam sangli seat row indian express nan,sangli_news,positive,0.765,neutral,0.0,positive,2025-11-26 14:42:25.604584
4 ex-MLAs from Sangli district set to join Ajit Pawar-led NCP today - The Times of India 4 ex-MLAs from Sangli district set to join Ajit Pawar-led NCP today  The Times of India nan,ex mla sangli district set join ajit pawar lead ncp today times india nan,sangli_news,positive,0.5267,neutral,0.0,positive,2025-11-26 14:42:25.604584
"As Covid-19 cases rise, Sangli imposes strict six-day lockdown - The Indian Express As Covid-19 cases rise, Sangli imposes strict six-day lockdown  The Indian Express nan",case rise sangli impose strict day lockdown indian express nan,sangli_news,negative,-0.2023,neutral,0.0,negative,2025-11-26 14:42:25.604584
CPCB flags waste-to-energy plants in Moshi & Sangli for non-compliance of norms - The Times of India CPCB flags waste-to-energy plants in Moshi & Sangli for non-compliance of norms  The Times of India nan,cpcb flag waste energy plant moshi sangli non compliance norm times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Sangli seat row widens rift between Congress, Sena (UBT); Raut issues warning - The Indian Express Sangli seat row widens rift between Congress, Sena (UBT); Raut issues warning  The Indian Express nan",sangli seat row widen rift congress sena ubt raut issue warn indian express nan,sangli_news,negative,-0.5859,neutral,0.0,negative,2025-11-26 14:42:25.604584
"In Sangli, Vishal Patil springs a surprise, files nomination as independent and Congress candidate - The Indian Express In Sangli, Vishal Patil springs a surprise, files nomination as independent and Congress candidate  The Indian Express nan",sangli vishal patil spring surprise file nomination independent congress candidate indian express nan,sangli_news,positive,0.4939,neutral,0.0,positive,2025-11-26 14:42:25.604584
"Lok Sabha polls: Congress proposes ‘friendly fight’ over Sangli seat, Uddhav Sena rejects it outright - The Indian Express Lok Sabha polls: Congress proposes ‘friendly fight’ over Sangli seat, Uddhav Sena rejects it outright  The Indian Express nan",lok sabha poll congress propose friendly fight sangli seat uddhav sena reject outright indian express nan,sangli_news,negative,-0.7506,positive,0.375,negative,2025-11-26 14:42:25.604584
No Sena (UBT) presence in Sangli; I am the right choice if you want to oust BJP: Patil - The Indian Express No Sena (UBT) presence in Sangli; I am the right choice if you want to oust BJP: Patil  The Indian Express nan,sena ubt presence sangli right choice want oust bjp patil indian express nan,sangli_news,negative,-0.4215,positive,0.2857142857142857,negative,2025-11-26 14:42:25.604584
"Vishal Patil revolts, faces expulsion as Sangli gears up for three-cornered contest - The Indian Express Vishal Patil revolts, faces expulsion as Sangli gears up for three-cornered contest  The Indian Express nan",vishal patil revolt face expulsion sangli gear cornered contest indian express nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Vishwajeet Kadam shuns campaigning as Shiv Sena (UBT) gets its way in Sangli, Congress to hold urgent meet - The Indian Express Vishwajeet Kadam shuns campaigning as Shiv Sena (UBT) gets its way in Sangli, Congress to hold urgent meet  The Indian Express nan",vishwajeet kadam shun campaign shiv sena ubt get way sangli congress hold urgent meet indian express nan,sangli_news,positive,0.3818,neutral,0.0,positive,2025-11-26 14:42:25.604584
Sangli doc told to pay Rs7.5L for med negligence causing death - The Times of India Sangli doc told to pay Rs7.5L for med negligence causing death  The Times of India nan,sangli doc tell pay med negligence cause death times india nan,sangli_news,negative,-0.8625,neutral,0.0,negative,2025-11-26 14:42:25.604584
Who Is Prithviraj Patil? Former Sangli Congress Leader to Join BJP Tomorrow - Free Press Journal Who Is Prithviraj Patil? Former Sangli Congress Leader to Join BJP Tomorrow  Free Press Journal nan,prithviraj patil sangli congress leader join bjp tomorrow free press journal nan,sangli_news,positive,0.885,positive,0.2,positive,2025-11-26 14:42:25.604584
Army cadet from Sangli dies during cross-country event at training academy in Gaya - The Times of India Army cadet from Sangli dies during cross-country event at training academy in Gaya  The Times of India nan,army cadet sangli die cross country event training academy gaya times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
BMC workers clear 700 mega tonnes of garbage in Sangli - The Hindu BMC workers clear 700 mega tonnes of garbage in Sangli  The Hindu nan,bmc worker clear mega tonne garbage sangli hindu nan,sangli_news,positive,0.6369,neutral,0.09999999999999999,positive,2025-11-26 14:42:25.604584
"Unseasonal rain in Kolhapur, Sangli & Satara; woman killed in lightning strike while getting chappals fro - The Times of India Unseasonal rain in Kolhapur, Sangli & Satara; woman killed in lightning strike while getting chappals fro  The Times of India nan",unseasonal rain kolhapur sangli satara woman kill lightning strike get chappal fro times india nan,sangli_news,negative,-0.9001,negative,-0.2,negative,2025-11-26 14:42:25.604584
Rivers of filth flow into the Krishna at Sangli - The New Indian Express Rivers of filth flow into the Krishna at Sangli  The New Indian Express nan,river filth flow krishna sangli new indian express rivers nan,sangli_news,neutral,0.0,positive,0.13636363636363635,neutral,2025-11-26 14:42:25.604584
"Sangli guardian minister Chandrakant Patil calls upon former BJP MP Sanjaykaka Patil, urges him to return - The Times of India Sangli guardian minister Chandrakant Patil calls upon former BJP MP Sanjaykaka Patil, urges him to return  The Times of India nan",sangli guardian minister chandrakant patil call bjp mp sanjaykaka urge return times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Pune: River levels rise as more water discharged from Koyna dam, Kolhapur and Sangli on alert - The Indian Express Pune: River levels rise as more water discharged from Koyna dam, Kolhapur and Sangli on alert  The Indian Express nan",pune river level rise water discharge koyna dam kolhapur sangli alert indian express nan,sangli_news,positive,0.5267,positive,0.5,positive,2025-11-26 14:42:25.604584
"Political battle heats up in Kolhapur, Sangli, Satara, Solapur as nominations open for local body polls - The Times of India Political battle heats up in Kolhapur, Sangli, Satara, Solapur as nominations open for local body polls  The Times of India nan",political battle heat kolhapur sangli satara solapur nomination open local body poll times india nan,sangli_news,negative,-0.6369,neutral,0.0,negative,2025-11-26 14:42:25.604584
10ft crocodile rescued from Shirala in Sangli - The Times of India 10ft crocodile rescued from Shirala in Sangli  The Times of India nan,ft crocodile rescue shirala sangli times india nan,sangli_news,positive,0.6808,neutral,0.0,positive,2025-11-26 14:42:25.604584
"Samant vows large MIDC near Satara, sub-centre of turmeric research in Sangli - The Times of India Samant vows large MIDC near Satara, sub-centre of turmeric research in Sangli  The Times of India nan",samant vow large midc near satara sub centre turmeric research sangli times india nan,sangli_news,neutral,0.0,positive,0.15714285714285714,neutral,2025-11-26 14:42:25.604584
Fancy fireworks light up Sangli villages for 12 hrs - The Times of India Fancy fireworks light up Sangli villages for 12 hrs  The Times of India nan,fancy firework light sangli village hrs times india nan,sangli_news,neutral,0.0,positive,0.4,neutral,2025-11-26 14:42:25.604584
"Rs 1,130cr okayed for new roads between Kolhapur & Sangli - ET Infra Rs 1,130cr okayed for new roads between Kolhapur & Sangli  ET Infra nan",okay new road kolhapur sangli et infra nan,sangli_news,neutral,0.0,positive,0.13636363636363635,neutral,2025-11-26 14:42:25.604584
Rs 500-crore tender soon to mitigate floods in Sangli & Kolhapur districts: Kshirsagar - The Times of India Rs 500-crore tender soon to mitigate floods in Sangli & Kolhapur districts: Kshirsagar  The Times of India nan,crore tender soon mitigate flood sangli kolhapur district kshirsagar times india rs nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
963cr granted for flood-control measures in Kolhapur & Sangli - The Times of India 963cr granted for flood-control measures in Kolhapur & Sangli  The Times of India nan,grant flood control measure kolhapur sangli times india nan,sangli_news,positive,0.4588,neutral,0.0,positive,2025-11-26 14:42:25.604584
Maharashtra floods: Citizens come to rescue in Sangli as government delays - TwoCircles.net Maharashtra floods: Citizens come to rescue in Sangli as government delays  TwoCircles.net nan,maharashtra flood citizen come rescue sangli government delay nan,sangli_news,positive,0.765,neutral,0.0,positive,2025-11-26 14:42:25.604584
"Ex-Sangli MP Pratik Patil takes a U-turn, quits Congress - The Hindu Ex-Sangli MP Pratik Patil takes a U-turn, quits Congress  The Hindu nan",ex sangli mp pratik patil take turn quit congress hindu nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Parts of Kolhapur, Sangli & Satara dists get light rainfall on Saturday - The Times of India Parts of Kolhapur, Sangli & Satara dists get light rainfall on Saturday  The Times of India nan",parts kolhapur sangli satara dist light rainfall saturday times india nan,sangli_news,neutral,0.0,positive,0.4,neutral,2025-11-26 14:42:25.604584
"Bharat Bandh Today Live Updates: ASHA Workers, Labourers Hold Protest March In Maharashtra's Sangli - Times Now Bharat Bandh Today Live Updates: ASHA Workers, Labourers Hold Protest March In Maharashtra's Sangli  Times Now nan",bharat bandh today live update asha worker labourers hold protest march maharashtra sangli times nan,sangli_news,negative,-0.4588,positive,0.13636363636363635,negative,2025-11-26 14:42:25.604584
"Union Minister for Road Transport and Highways dedicates to the nation two Highway Projects worth ₹ 2,334 Cr in Sangli, Maharashtra - pib.gov.in Union Minister for Road Transport and Highways dedicates to the nation two Highway Projects worth ₹ 2,334 Cr in Sangli, Maharashtra  pib.gov.in nan",union minister road transport highways dedicate nation highway projects worth cr sangli maharashtra nan,sangli_news,positive,0.4215,positive,0.3,positive,2025-11-26 14:42:25.604584
Two killed as bus from Sangli overturns in Karnataka - The Hindu Two killed as bus from Sangli overturns in Karnataka  The Hindu nan,kill bus sangli overturn karnataka hindu nan,sangli_news,negative,-0.875,negative,-0.2,negative,2025-11-26 14:42:25.604584
Meeting held to review proposed airport at Kavalapur in Sangli dist - The Times of India Meeting held to review proposed airport at Kavalapur in Sangli dist  The Times of India nan,meeting hold review propose airport kavalapur sangli dist times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Hyatt Plans New Hyatt Place Hotel in Kolhapur Sangli, India - Hotel News Resource Hyatt Plans New Hyatt Place Hotel in Kolhapur Sangli, India  Hotel News Resource nan",hyatt plan new place hotel kolhapur sangli india news resource nan,sangli_news,neutral,0.0,positive,0.13636363636363635,neutral,2025-11-26 14:42:25.604584
Islampur in Sangli District of Maharashtra Renames as Ishwarpur - lokmattimes.com Islampur in Sangli District of Maharashtra Renames as Ishwarpur  lokmattimes.com nan,islampur sangli district maharashtra renames ishwarpur nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Maharashtra Politics: BJP Invites Sangli MP Vishal Patil To Join Party, But He Declines, Calls For Unity In - Free Press Journal Maharashtra Politics: BJP Invites Sangli MP Vishal Patil To Join Party, But He Declines, Calls For Unity In  Free Press Journal nan",maharashtra politics bjp invite sangli mp vishal patil join party decline call unity free press journal nan,sangli_news,positive,0.9565,positive,0.4,positive,2025-11-26 14:42:25.604584
Sangli Crime: Youth Murdered by Friends After Resisting Sexual Assault Attempt - lokmattimes.com Sangli Crime: Youth Murdered by Friends After Resisting Sexual Assault Attempt  lokmattimes.com nan,sangli crime youth murder friend resisting sexual assault attempt nan,sangli_news,negative,-0.9595,positive,0.5,negative,2025-11-26 14:42:25.604584
Sangli civic body checks feasibility of rowing track - The Times of India Sangli civic body checks feasibility of rowing track  The Times of India nan,sangli civic body check feasibility row track times india nan,sangli_news,neutral,0.0,neutral,0.0,neutral,2025-11-26 14:42:25.604584
"Maharashtra Road Accident: Tractor Skids Off Road in Muchandi, Killing Two Youths and Injuring Another in Sangli - lokmattimes.com Maharashtra Road Accident: Tractor Skids Off Road in Muchandi, Killing Two Youths and Injuring Another in Sangli  lokmattimes.com nan",maharashtra road accident tractor skid muchandi kill youths injure sangli nan,sangli_news,negative,-0.9432,neutral,0.0,negative,2025-11-26 14:42:25.604584
"Kolhapur, Sangli MLAs oppose K’taka plan to increase Almatti height - The Times of India Kolhapur, Sangli MLAs oppose K’taka plan to increase Almatti height  The Times of India nan",kolhapur sangli mla oppose plan increase almatti height times india nan,sangli_news,positive,0.5574,neutral,0.0,positive,2025-11-26 14:42:25.604584
